feature,split,support,ROC_AUC,PR_AUC,F1_best,t_star,TP,FP,TN,FN
len_char,train,27417,0.7493247673654092,0.2149759512447682,0.36029841029785087,3.367295742034912,2817,9491,14563,546
len_char,val,1281,0.7430361017952258,0.27627908255413436,0.37651122581730756,3.828641414642334,109,291,805,76
not_short,train,27417,0.5163400005355182,0.1262819942587952,0.2242110533988769,0.0,3363,24054,0,0
not_short,val,1281,0.5200729927007299,0.14955537590945836,0.2601969055401803,0.0,185,1096,0,0
not_back,train,27417,0.5668337342673898,0.13896004476909463,0.24400523158319326,0.0,3363,24054,0,0
not_back,val,1281,0.5615875912408759,0.16143106457242584,0.2779864760942355,0.0,185,1096,0,0
speaker_switch,train,27417,0.3294483598344403,0.098294792680491,0.1431195301648943,0.0,3363,24054,0,0
speaker_switch,val,1281,0.30584681396725194,0.11630186989949698,0.1434460013902971,0.0,185,1096,0,0
delta_cos,train,27417,0.5696112592439635,0.1417418524825798,0.23947729720869992,0.526740550994873,2529,15230,8824,834
delta_cos,val,1281,0.6303264943775894,0.21001370330492553,0.3101482322782785,0.5396749973297119,136,557,539,49
novel_tfidf,train,27417,0.5232047276124507,0.12745676785169607,0.23048793979645774,0.9498293995857239,3120,20591,3463,243
novel_tfidf,val,1281,0.5451494377589269,0.15602331836614666,0.2743569755910768,0.8493174314498901,176,923,173,9
novel_jaccard,train,27417,0.5182349649852406,0.12623463314729005,0.2284357500203983,0.8787878751754761,3223,21638,2416,140
novel_jaccard,val,1281,0.5274018544091538,0.15042782012076983,0.26990779521154756,0.9200000166893005,161,850,246,24
novel_local,train,27417,0.6637833360418294,0.23772353622286038,0.28874004302329725,0.4942965507507324,1595,6091,17963,1768
novel_local,val,1281,0.7067074373643716,0.32489043807738743,0.38181818137173545,0.4995240569114685,105,261,835,80
is_question,train,27417,0.7111737093868067,0.2526377718399626,0.4148522137007733,0.0,3363,24054,0,0
is_question,val,1281,0.6662458078516473,0.23243321428461017,0.3725834793502615,0.0,185,1096,0,0
