epoch,train_loss,val_loss,P@0.5,R@0.5,F1@0.5,ACC@0.5,AUC,AP,TP@0.5,FP@0.5,TN@0.5,FN@0.5,bestF1,best_t,TP@t*,FP@t*,TN@t*,FN@t*,ACC@t*,t@P30,P@P30,R@P30,F1@P30,ACC@P30,TP@P30,FP@P30,TN@P30,FN@P30,t@P31,P@P31,R@P31,F1@P31,ACC@P31,TP@P31,FP@P31,TN@P31,FN@P31,t@P32,P@P32,R@P32,F1@P32,ACC@P32,TP@P32,FP@P32,TN@P32,FN@P32,t@P33,P@P33,R@P33,F1@P33,ACC@P33,TP@P33,FP@P33,TN@P33,FN@P33,t@P34,P@P34,R@P34,F1@P34,ACC@P34,TP@P34,FP@P34,TN@P34,FN@P34,t@P35,P@P35,R@P35,F1@P35,ACC@P35,TP@P35,FP@P35,TN@P35,FN@P35,t@P36,P@P36,R@P36,F1@P36,ACC@P36,TP@P36,FP@P36,TN@P36,FN@P36,t@P37,P@P37,R@P37,F1@P37,ACC@P37,TP@P37,FP@P37,TN@P37,FN@P37,t@P38,P@P38,R@P38,F1@P38,ACC@P38,TP@P38,FP@P38,TN@P38,FN@P38,t@P39,P@P39,R@P39,F1@P39,ACC@P39,TP@P39,FP@P39,TN@P39,FN@P39,t@P40,P@P40,R@P40,F1@P40,ACC@P40,TP@P40,FP@P40,TN@P40,FN@P40,t@P41,P@P41,R@P41,F1@P41,ACC@P41,TP@P41,FP@P41,TN@P41,FN@P41,t@P42,P@P42,R@P42,F1@P42,ACC@P42,TP@P42,FP@P42,TN@P42,FN@P42,t@P43,P@P43,R@P43,F1@P43,ACC@P43,TP@P43,FP@P43,TN@P43,FN@P43,t@P44,P@P44,R@P44,F1@P44,ACC@P44,TP@P44,FP@P44,TN@P44,FN@P44,t@P45,P@P45,R@P45,F1@P45,ACC@P45,TP@P45,FP@P45,TN@P45,FN@P45,t@P46,P@P46,R@P46,F1@P46,ACC@P46,TP@P46,FP@P46,TN@P46,FN@P46,t@P47,P@P47,R@P47,F1@P47,ACC@P47,TP@P47,FP@P47,TN@P47,FN@P47,t@P48,P@P48,R@P48,F1@P48,ACC@P48,TP@P48,FP@P48,TN@P48,FN@P48,t@P49,P@P49,R@P49,F1@P49,ACC@P49,TP@P49,FP@P49,TN@P49,FN@P49,t@P50,P@P50,R@P50,F1@P50,ACC@P50,TP@P50,FP@P50,TN@P50,FN@P50
1,0.7556529536304285,1.0917232458184405,0.4577777777777778,0.5567567567567567,0.5024390243902439,0.8407494145199064,0.834232590254488,0.4982818534297989,103,122,974,82,0.5125628140703518,0.52,102,111,985,83,0.8485558157689306,0.2899999999999999,0.30353430353430355,0.7891891891891892,0.43843843843843844,0.7080405932864949,146,335,761,39,0.31999999999999995,0.3153153153153153,0.7567567567567568,0.4451510333863275,0.7275565964090555,140,304,792,45,0.35,0.33088235294117646,0.7297297297297297,0.45531197301854975,0.7478532396565184,135,273,823,50,0.35,0.33088235294117646,0.7297297297297297,0.45531197301854975,0.7478532396565184,135,273,823,50,0.37,0.34203655352480417,0.7081081081081081,0.4612676056338028,0.7611241217798594,131,252,844,54,0.38,0.35054347826086957,0.6972972972972973,0.4665461121157324,0.7697111631537861,129,239,857,56,0.41000000000000003,0.36227544910179643,0.654054054054054,0.4662813102119461,0.7837626854020296,121,213,883,64,0.44999999999999996,0.4020979020979021,0.6216216216216216,0.4883227176220807,0.8118657298985168,115,171,925,70,0.44999999999999996,0.4020979020979021,0.6216216216216216,0.4883227176220807,0.8118657298985168,115,171,925,70,0.44999999999999996,0.4020979020979021,0.6216216216216216,0.4883227176220807,0.8118657298985168,115,171,925,70,0.44999999999999996,0.4020979020979021,0.6216216216216216,0.4883227176220807,0.8118657298985168,115,171,925,70,0.45999999999999996,0.41544117647058826,0.6108108108108108,0.49452954048140046,0.819672131147541,113,159,937,72,0.47,0.42045454545454547,0.6,0.49443207126948774,0.8227946916471507,111,153,943,74,0.49,0.4411764705882353,0.5675675675675675,0.49645390070921985,0.8337236533957846,105,133,963,80,0.49,0.4411764705882353,0.5675675675675675,0.49645390070921985,0.8337236533957846,105,133,963,80,0.51,0.4703196347031963,0.5567567567567567,0.5099009900990099,0.8454332552693209,103,116,980,82,0.51,0.4703196347031963,0.5567567567567567,0.5099009900990099,0.8454332552693209,103,116,980,82,0.51,0.4703196347031963,0.5567567567567567,0.5099009900990099,0.8454332552693209,103,116,980,82,0.55,0.49473684210526314,0.5081081081081081,0.5013333333333333,0.8540202966432474,94,96,1000,91,0.55,0.49473684210526314,0.5081081081081081,0.5013333333333333,0.8540202966432474,94,96,1000,91,0.56,0.510989010989011,0.5027027027027027,0.5068119891008175,0.8587041373926619,93,89,1007,92
2,0.6983002685662467,0.9490014147467729,0.35638297872340424,0.7243243243243244,0.47771836007130125,0.7712724434035909,0.8469421976721246,0.5273648635442536,134,242,854,51,0.5585106382978723,0.68,105,86,1010,80,0.8704137392661982,0.4,0.3097713097713098,0.8054054054054054,0.44744744744744747,0.7127244340359095,149,332,764,36,0.41000000000000003,0.31422505307855625,0.8,0.45121951219512196,0.7189695550351288,148,323,773,37,0.42999999999999994,0.3221476510067114,0.7783783783783784,0.45569620253164556,0.7314597970335676,144,303,793,41,0.44999999999999996,0.3317757009345794,0.7675675675675676,0.4632952691680261,0.7431693989071039,142,286,810,43,0.47,0.34491315136476425,0.7513513513513513,0.47278911564625853,0.7580015612802498,139,264,832,46,0.48,0.35128205128205126,0.7405405405405405,0.4765217391304348,0.7650273224043715,137,253,843,48,0.52,0.36901408450704226,0.7081081081081081,0.48518518518518516,0.7829820452771272,131,224,872,54,0.53,0.37572254335260113,0.7027027027027027,0.4896421845574388,0.7884465261514442,130,216,880,55,0.55,0.4025157232704403,0.6918918918918919,0.5089463220675944,0.8071818891491023,128,190,906,57,0.55,0.4025157232704403,0.6918918918918919,0.5089463220675944,0.8071818891491023,128,190,906,57,0.55,0.4025157232704403,0.6918918918918919,0.5089463220675944,0.8071818891491023,128,190,906,57,0.5700000000000001,0.4161073825503356,0.6702702702702703,0.5134575569358178,0.8165495706479313,124,174,922,61,0.6,0.43911439114391143,0.6432432432432432,0.5219298245614035,0.8298204527712725,119,152,944,66,0.6,0.43911439114391143,0.6432432432432432,0.5219298245614035,0.8298204527712725,119,152,944,66,0.61,0.45703125,0.6324324324324324,0.5306122448979592,0.8384074941451991,117,139,957,68,0.61,0.45703125,0.6324324324324324,0.5306122448979592,0.8384074941451991,117,139,957,68,0.62,0.46311475409836067,0.6108108108108108,0.5268065268065268,0.8415300546448088,113,131,965,72,0.63,0.4703389830508475,0.6,0.5273159144893111,0.8446526151444185,111,125,971,74,0.6399999999999999,0.4824561403508772,0.5945945945945946,0.5326876513317191,0.849336455893833,110,118,978,75,0.6499999999999999,0.5023041474654378,0.5891891891891892,0.5422885572139303,0.8563622170179547,109,108,988,76,0.6499999999999999,0.5023041474654378,0.5891891891891892,0.5422885572139303,0.8563622170179547,109,108,988,76
3,0.6680528786350716,0.9079025511334582,0.36363636363636365,0.7351351351351352,0.4865831842576029,0.7759562841530054,0.8563474057999605,0.5432367605270629,136,238,858,49,0.5771428571428572,0.75,101,64,1032,84,0.8844652615144418,0.36,0.3035019455252918,0.8432432432432433,0.44635193133047213,0.6978922716627635,156,358,738,29,0.41000000000000003,0.32461873638344224,0.8054054054054054,0.46273291925465837,0.7298985167837627,149,310,786,36,0.41000000000000003,0.32461873638344224,0.8054054054054054,0.46273291925465837,0.7298985167837627,149,310,786,36,0.42999999999999994,0.3325740318906606,0.7891891891891892,0.46794871794871795,0.7408274785323966,146,293,803,39,0.45999999999999996,0.34541062801932365,0.772972972972973,0.4774624373956594,0.7556596409055425,143,271,825,42,0.48,0.35279187817258884,0.7513513513513513,0.48013816925734026,0.7650273224043715,139,255,841,46,0.5,0.36363636363636365,0.7351351351351352,0.4865831842576029,0.7759562841530054,136,238,858,49,0.51,0.371900826446281,0.7297297297297297,0.4927007299270073,0.7829820452771272,135,228,868,50,0.53,0.3866279069767442,0.7189189189189189,0.502835538752363,0.7946916471506635,133,211,885,52,0.56,0.39814814814814814,0.6972972972972973,0.5068762278978389,0.8040593286494926,129,195,901,56,0.5700000000000001,0.4064516129032258,0.6810810810810811,0.509090909090909,0.810304449648712,126,184,912,59,0.59,0.41638225255972694,0.6594594594594595,0.5104602510460251,0.8173302107728337,122,171,925,63,0.61,0.44,0.654054054054054,0.5260869565217391,0.8298204527712725,121,154,942,64,0.61,0.44,0.654054054054054,0.5260869565217391,0.8298204527712725,121,154,942,64,0.62,0.4594594594594595,0.6432432432432432,0.536036036036036,0.8391881342701015,119,140,956,66,0.62,0.4594594594594595,0.6432432432432432,0.536036036036036,0.8391881342701015,119,140,956,66,0.6599999999999999,0.5021459227467812,0.6324324324324324,0.5598086124401914,0.8563622170179547,117,116,980,68,0.6599999999999999,0.5021459227467812,0.6324324324324324,0.5598086124401914,0.8563622170179547,117,116,980,68,0.6599999999999999,0.5021459227467812,0.6324324324324324,0.5598086124401914,0.8563622170179547,117,116,980,68,0.6599999999999999,0.5021459227467812,0.6324324324324324,0.5598086124401914,0.8563622170179547,117,116,980,68,0.6599999999999999,0.5021459227467812,0.6324324324324324,0.5598086124401914,0.8563622170179547,117,116,980,68
4,0.6341444746077131,1.0453948705661587,0.43157894736842106,0.6648648648648648,0.5234042553191489,0.825136612021858,0.8512576445058198,0.5246898081722199,123,162,934,62,0.5569007263922519,0.5800000000000001,115,113,983,70,0.8571428571428571,0.25,0.30265848670756645,0.8,0.4391691394658754,0.7049180327868853,148,341,755,37,0.2899999999999999,0.328125,0.7945945945945946,0.46445497630331756,0.7353629976580797,147,301,795,38,0.2899999999999999,0.328125,0.7945945945945946,0.46445497630331756,0.7353629976580797,147,301,795,38,0.29999999999999993,0.33256880733944955,0.7837837837837838,0.4669887278582931,0.741608118657299,145,291,805,40,0.31999999999999995,0.3404761904761905,0.772972972972973,0.4727272727272727,0.750975800156128,143,277,819,42,0.35,0.3533834586466165,0.7621621621621621,0.4828767123287671,0.7642466822794691,141,258,838,44,0.36,0.36363636363636365,0.7567567567567568,0.49122807017543857,0.7736143637782982,140,245,851,45,0.38,0.37228260869565216,0.7405405405405405,0.49547920433996384,0.7822014051522248,137,231,865,48,0.41000000000000003,0.3866279069767442,0.7189189189189189,0.502835538752363,0.7946916471506635,133,211,885,52,0.42999999999999994,0.39039039039039036,0.7027027027027027,0.5019305019305019,0.7985948477751756,130,203,893,55,0.48,0.41333333333333333,0.6702702702702703,0.511340206185567,0.8149882903981265,124,176,920,61,0.48,0.41333333333333333,0.6702702702702703,0.511340206185567,0.8149882903981265,124,176,920,61,0.5,0.43157894736842106,0.6648648648648648,0.5234042553191489,0.825136612021858,123,162,934,62,0.5,0.43157894736842106,0.6648648648648648,0.5234042553191489,0.825136612021858,123,162,934,62,0.52,0.44525547445255476,0.6594594594594595,0.5315904139433552,0.8321623731459797,122,152,944,63,0.54,0.46511627906976744,0.6486486486486487,0.5417607223476298,0.8415300546448088,120,138,958,65,0.54,0.46511627906976744,0.6486486486486487,0.5417607223476298,0.8415300546448088,120,138,958,65,0.5700000000000001,0.4915254237288136,0.6270270270270271,0.5510688836104513,0.8524590163934426,116,120,976,69,0.5700000000000001,0.4915254237288136,0.6270270270270271,0.5510688836104513,0.8524590163934426,116,120,976,69,0.5700000000000001,0.4915254237288136,0.6270270270270271,0.5510688836104513,0.8524590163934426,116,120,976,69,0.58,0.5043859649122807,0.6216216216216216,0.5569007263922519,0.8571428571428571,115,113,983,70
5,0.5955546458046383,1.1414547366339987,0.5098039215686274,0.5621621621621622,0.5347043701799485,0.8587041373926619,0.8551538765042415,0.5303375341601579,104,100,996,81,0.5521739130434783,0.41000000000000003,127,148,948,58,0.8391881342701015,0.16999999999999993,0.3033932135728543,0.8216216216216217,0.44314868804664725,0.7017954722872756,152,349,747,33,0.17999999999999994,0.31069958847736623,0.8162162162162162,0.45007451564828616,0.711943793911007,151,335,761,34,0.19999999999999996,0.3210412147505423,0.8,0.4582043343653251,0.726775956284153,148,313,783,37,0.21999999999999997,0.33256880733944955,0.7837837837837838,0.4669887278582931,0.741608118657299,145,291,805,40,0.26,0.3594936708860759,0.7675675675675676,0.4896551724137931,0.7689305230288837,142,253,843,43,0.26,0.3594936708860759,0.7675675675675676,0.4896551724137931,0.7689305230288837,142,253,843,43,0.28,0.3716577540106952,0.7513513513513513,0.49731663685152055,0.78064012490242,139,235,861,46,0.28,0.3716577540106952,0.7513513513513513,0.49731663685152055,0.78064012490242,139,235,861,46,0.29999999999999993,0.38873239436619716,0.745945945945946,0.5111111111111111,0.7939110070257611,138,217,879,47,0.30999999999999994,0.39420289855072466,0.7351351351351352,0.5132075471698113,0.7985948477751756,136,209,887,49,0.35,0.4166666666666667,0.7297297297297297,0.5304518664047151,0.8134270101483216,135,189,907,50,0.35,0.4166666666666667,0.7297297297297297,0.5304518664047151,0.8134270101483216,135,189,907,50,0.36,0.4249201277955272,0.7189189189189189,0.5341365461847389,0.8188914910226386,133,180,916,52,0.37,0.43666666666666665,0.7081081081081081,0.5402061855670103,0.8259172521467604,131,169,927,54,0.39,0.44982698961937717,0.7027027027027027,0.5485232067510548,0.8329430132708822,130,159,937,55,0.41000000000000003,0.4618181818181818,0.6864864864864865,0.5521739130434783,0.8391881342701015,127,148,948,58,0.41000000000000003,0.4618181818181818,0.6864864864864865,0.5521739130434783,0.8391881342701015,127,148,948,58,0.45999999999999996,0.47257383966244726,0.6054054054054054,0.5308056872037915,0.8454332552693209,112,125,971,73,0.48,0.4888888888888889,0.5945945945945946,0.5365853658536586,0.8516783762685401,110,115,981,75,0.49,0.4954128440366973,0.5837837837837838,0.5359801488833746,0.8540202966432474,108,110,986,77,0.51,0.5148514851485149,0.5621621621621622,0.537467700258398,0.8602654176424668,104,98,998,81
6,0.5515923190388129,1.4548257938245448,0.5297619047619048,0.4810810810810811,0.5042492917847026,0.8633879781420765,0.8312339711974749,0.49305934567074483,89,79,1017,96,0.5086705202312138,0.52,88,73,1023,97,0.8672911787665886,0.10999999999999999,0.301010101010101,0.8054054054054054,0.43823529411764706,0.7017954722872756,149,346,750,36,0.15000000000000002,0.3194444444444444,0.745945945945946,0.4473257698541329,0.7338017174082748,138,294,802,47,0.16999999999999993,0.32929782082324455,0.7351351351351352,0.45484949832775917,0.7455113192818111,136,277,819,49,0.19999999999999996,0.3324742268041237,0.6972972972972973,0.450261780104712,0.7540983606557377,129,259,837,56,0.22999999999999998,0.34277620396600567,0.654054054054054,0.44981412639405205,0.7689305230288837,121,232,864,64,0.26,0.36875,0.6378378378378379,0.46732673267326735,0.790007806401249,118,202,894,67,0.26,0.36875,0.6378378378378379,0.46732673267326735,0.790007806401249,118,202,894,67,0.2899999999999999,0.37623762376237624,0.6162162162162163,0.4672131147540984,0.7970335675253708,114,189,907,71,0.29999999999999993,0.3856655290102389,0.6108108108108108,0.47280334728033474,0.8032786885245902,113,180,916,72,0.30999999999999994,0.3971631205673759,0.6054054054054054,0.4796573875802998,0.810304449648712,112,170,926,73,0.31999999999999995,0.4036363636363636,0.6,0.4826086956521739,0.8142076502732241,111,164,932,74,0.32999999999999996,0.41509433962264153,0.5945945945945946,0.4888888888888889,0.8204527712724434,110,155,941,75,0.33999999999999997,0.42412451361867703,0.5891891891891892,0.49321266968325794,0.825136612021858,109,148,948,76,0.36,0.4344262295081967,0.572972972972973,0.49417249417249415,0.8306010928961749,106,138,958,79,0.37,0.44017094017094016,0.5567567567567567,0.4916467780429594,0.8337236533957846,103,131,965,82,0.39,0.4697674418604651,0.5459459459459459,0.505,0.8454332552693209,101,114,982,84,0.39,0.4697674418604651,0.5459459459459459,0.505,0.8454332552693209,101,114,982,84,0.4,0.4714285714285714,0.5351351351351351,0.5012658227848101,0.8462138953942233,99,111,985,86,0.41000000000000003,0.4803921568627451,0.5297297297297298,0.5038560411311054,0.849336455893833,98,106,990,87,0.45999999999999996,0.5,0.5027027027027027,0.5013477088948787,0.8555815768930523,93,93,1003,92,0.47,0.5054945054945055,0.4972972972972973,0.5013623978201635,0.8571428571428571,92,90,1006,93
7,0.5130901300851495,1.2136943093160304,0.43410852713178294,0.6054054054054054,0.5056433408577878,0.8290398126463701,0.8416107713552969,0.5119213609713561,112,146,950,73,0.5223880597014925,0.5700000000000001,105,112,984,80,0.8501170960187353,0.18999999999999995,0.30628803245436104,0.8162162162162162,0.44542772861356933,0.7064793130366901,151,342,754,34,0.22999999999999998,0.3159041394335512,0.7837837837837838,0.4503105590062112,0.7236533957845434,145,314,782,40,0.25,0.3235294117647059,0.772972972972973,0.45614035087719296,0.7338017174082748,143,299,797,42,0.26,0.3302325581395349,0.7675675675675676,0.46178861788617886,0.741608118657299,142,288,808,43,0.2899999999999999,0.34413965087281795,0.745945945945946,0.4709897610921502,0.7580015612802498,138,263,833,47,0.30999999999999994,0.35400516795865633,0.7405405405405405,0.479020979020979,0.7673692427790788,137,250,846,48,0.32999999999999996,0.3638814016172507,0.7297297297297297,0.4856115107913669,0.7767369242779079,135,236,860,50,0.36,0.37606837606837606,0.7135135135135136,0.4925373134328358,0.7876658860265418,132,219,877,53,0.39,0.38922155688622756,0.7027027027027027,0.5009633911368016,0.7978142076502732,130,204,892,55,0.4,0.3931888544891641,0.6864864864864865,0.5,0.8017174082747853,127,196,900,58,0.43999999999999995,0.4075342465753425,0.6432432432432432,0.4989517819706499,0.8134270101483216,119,173,923,66,0.44999999999999996,0.41403508771929826,0.6378378378378379,0.502127659574468,0.8173302107728337,118,167,929,67,0.47,0.42066420664206644,0.6162162162162163,0.5,0.8220140515222483,114,157,939,71,0.5,0.43410852713178294,0.6054054054054054,0.5056433408577878,0.8290398126463701,112,146,950,73,0.51,0.4435483870967742,0.5945945945945946,0.5080831408775982,0.8337236533957846,110,138,958,75,0.55,0.4732142857142857,0.572972972972973,0.5183374083129584,0.8462138953942233,106,118,978,79,0.55,0.4732142857142857,0.572972972972973,0.5183374083129584,0.8462138953942233,106,118,978,79,0.55,0.4732142857142857,0.572972972972973,0.5183374083129584,0.8462138953942233,106,118,978,79,0.5700000000000001,0.4838709677419355,0.5675675675675675,0.5223880597014925,0.8501170960187353,105,112,984,80,0.61,0.49740932642487046,0.518918918918919,0.5079365079365079,0.8548009367681498,96,97,999,89,0.62,0.5080213903743316,0.5135135135135135,0.510752688172043,0.8579234972677595,95,92,1004,90
8,0.46700056637947035,1.5665536057658311,0.480225988700565,0.4594594594594595,0.4696132596685083,0.8501170960187353,0.8188893272834881,0.47167070222230945,85,92,1004,100,0.4751958224543081,0.46,91,107,989,94,0.8430913348946136,0.15999999999999992,0.30465116279069765,0.7081081081081081,0.42601626016260163,0.7244340359094458,131,299,797,54,0.16999999999999993,0.3117505995203837,0.7027027027027027,0.4318936877076412,0.7330210772833724,130,287,809,55,0.18999999999999995,0.3241206030150754,0.6972972972972973,0.4425385934819897,0.7462919594067136,129,269,827,56,0.19999999999999996,0.33246753246753247,0.6918918918918919,0.44912280701754387,0.7548790007806401,128,257,839,57,0.22999999999999998,0.34277620396600567,0.654054054054054,0.44981412639405205,0.7689305230288837,121,232,864,64,0.25,0.35014836795252224,0.6378378378378379,0.4521072796934866,0.7767369242779079,118,219,877,67,0.27,0.36477987421383645,0.6270270270270271,0.46123260437375746,0.7884465261514442,116,202,894,69,0.2899999999999999,0.3724832214765101,0.6,0.45962732919254656,0.7962529274004684,111,187,909,74,0.30999999999999994,0.3900709219858156,0.5945945945945946,0.47109207708779444,0.8071818891491023,110,172,924,75,0.30999999999999994,0.3900709219858156,0.5945945945945946,0.47109207708779444,0.8071818891491023,110,172,924,75,0.36,0.4098360655737705,0.5405405405405406,0.4662004662004662,0.8212334113973458,100,144,952,85,0.37,0.4100418410041841,0.5297297297297298,0.46226415094339623,0.8220140515222483,98,141,955,87,0.41000000000000003,0.4298642533936652,0.5135135135135135,0.46798029556650245,0.8313817330210773,95,126,970,90,0.42999999999999994,0.44285714285714284,0.5027027027027027,0.4708860759493671,0.8368462138953943,93,117,979,92,0.42999999999999994,0.44285714285714284,0.5027027027027027,0.4708860759493671,0.8368462138953943,93,117,979,92,0.45999999999999996,0.4595959595959596,0.4918918918918919,0.4751958224543081,0.8430913348946136,91,107,989,94,0.48,0.4631578947368421,0.4756756756756757,0.4693333333333333,0.8446526151444185,88,102,994,97,0.49,0.47282608695652173,0.4702702702702703,0.4715447154471545,0.8477751756440282,87,97,999,98,0.5,0.480225988700565,0.4594594594594595,0.4696132596685083,0.8501170960187353,85,92,1004,100,0.53,0.49079754601226994,0.43243243243243246,0.45977011494252873,0.853239656518345,80,83,1013,105,0.54,0.5031847133757962,0.42702702702702705,0.4619883040935672,0.8563622170179547,79,78,1018,106
9,0.42007035928557745,1.3947693574719313,0.396078431372549,0.5459459459459459,0.4590909090909091,0.8142076502732241,0.8105247583349774,0.46597874183593646,101,154,942,84,0.47702407002188185,0.46,109,163,933,76,0.8134270101483216,0.21999999999999997,0.3090909090909091,0.7351351351351352,0.4352,0.7244340359094458,136,304,792,49,0.22999999999999998,0.31542056074766356,0.7297297297297297,0.44045676998368677,0.73224043715847,135,293,803,50,0.26,0.3258145363408521,0.7027027027027027,0.4452054794520548,0.747072599531616,130,269,827,55,0.2899999999999999,0.3386243386243386,0.6918918918918919,0.4547069271758437,0.760343481654957,128,250,846,57,0.31999999999999995,0.3469945355191257,0.6864864864864865,0.46098003629764067,0.7681498829039812,127,239,857,58,0.32999999999999996,0.352112676056338,0.6756756756756757,0.46296296296296297,0.7736143637782982,125,230,866,60,0.36,0.3644578313253012,0.654054054054054,0.46808510638297873,0.7853239656518345,121,211,885,64,0.39,0.37662337662337664,0.6270270270270271,0.47058823529411764,0.7962529274004684,116,192,904,69,0.41999999999999993,0.3859060402684564,0.6216216216216216,0.47619047619047616,0.8024980483996877,115,183,913,70,0.43999999999999995,0.392226148409894,0.6,0.47435897435897434,0.8079625292740047,111,172,924,74,0.45999999999999996,0.4007352941176471,0.5891891891891892,0.47702407002188185,0.8134270101483216,109,163,933,76,0.55,0.416289592760181,0.4972972972972973,0.45320197044334976,0.8266978922716628,92,129,967,93,0.5700000000000001,0.4205607476635514,0.4864864864864865,0.45112781954887216,0.8290398126463701,90,124,972,95,0.61,0.43781094527363185,0.4756756756756757,0.45595854922279794,0.8360655737704918,88,113,983,97,0.63,0.45549738219895286,0.4702702702702703,0.4627659574468085,0.8423106947697112,87,104,992,98,0.63,0.45549738219895286,0.4702702702702703,0.4627659574468085,0.8423106947697112,87,104,992,98,0.6499999999999999,0.46994535519125685,0.4648648648648649,0.4673913043478261,0.8469945355191257,86,97,999,99,0.6599999999999999,0.4772727272727273,0.4540540540540541,0.46537396121883656,0.849336455893833,84,92,1004,101,0.69,0.5030674846625767,0.44324324324324327,0.47126436781609193,0.8563622170179547,82,81,1015,103,0.69,0.5030674846625767,0.44324324324324327,0.47126436781609193,0.8563622170179547,82,81,1015,103,0.69,0.5030674846625767,0.44324324324324327,0.47126436781609193,0.8563622170179547,82,81,1015,103
10,0.3866677839687157,2.0316585033405117,0.4764705882352941,0.43783783783783786,0.4563380281690141,0.849336455893833,0.8145541526928388,0.46748251674902414,81,89,1007,104,0.48223350253807107,0.37,95,114,982,90,0.8407494145199064,0.06999999999999995,0.3004694835680751,0.6918918918918919,0.41898527004909986,0.7228727556596409,128,298,798,57,0.08999999999999997,0.3165829145728643,0.6810810810810811,0.4322469982847341,0.741608118657299,126,272,824,59,0.10999999999999999,0.32085561497326204,0.6486486486486487,0.4293381037567084,0.750975800156128,120,254,842,65,0.13,0.33618233618233617,0.6378378378378379,0.44029850746268656,0.765807962529274,118,233,863,67,0.15000000000000002,0.3492537313432836,0.6324324324324324,0.45,0.7767369242779079,117,218,878,68,0.16999999999999993,0.3584905660377358,0.6162162162162163,0.4532803180914513,0.7853239656518345,114,204,892,71,0.18999999999999995,0.37209302325581395,0.6054054054054054,0.4609053497942387,0.795472287275566,112,189,907,73,0.18999999999999995,0.37209302325581395,0.6054054054054054,0.4609053497942387,0.795472287275566,112,189,907,73,0.20999999999999996,0.3824561403508772,0.5891891891891892,0.46382978723404256,0.8032786885245902,109,176,920,76,0.24,0.3925925925925926,0.572972972972973,0.46593406593406594,0.810304449648712,106,164,932,79,0.27,0.4087301587301587,0.5567567567567567,0.47139588100686497,0.819672131147541,103,149,947,82,0.28,0.41295546558704455,0.5513513513513514,0.4722222222222222,0.8220140515222483,102,145,951,83,0.30999999999999994,0.43103448275862066,0.5405405405405406,0.47961630695443647,0.8306010928961749,100,132,964,85,0.30999999999999994,0.43103448275862066,0.5405405405405406,0.47961630695443647,0.8306010928961749,100,132,964,85,0.35,0.44495412844036697,0.5243243243243243,0.4813895781637717,0.8368462138953943,97,121,975,88,0.38,0.45454545454545453,0.5135135135135135,0.48223350253807107,0.8407494145199064,95,114,982,90,0.45999999999999996,0.46195652173913043,0.4594594594594595,0.46070460704607047,0.8446526151444185,85,99,997,100,0.49,0.47126436781609193,0.44324324324324327,0.4568245125348189,0.8477751756440282,82,92,1004,103,0.53,0.49382716049382713,0.43243243243243246,0.4610951008645533,0.8540202966432474,80,82,1014,105,0.53,0.49382716049382713,0.43243243243243246,0.4610951008645533,0.8540202966432474,80,82,1014,105,0.54,0.5064102564102564,0.42702702702702705,0.4633431085043988,0.8571428571428571,79,77,1019,106
